district_raw,count
सतर,67
बदया,29
युठान,20
याङजा,18
याद,9
मधेशी सतर,9
यूठान,8
सयान,8
सतर नेपाल संघीय समाजवाद पाट,7
दलत सतर,5
खस आय यूठान,5
याजा,4
आदवासी जनजात सतर,4
डँडले धुरा,4
डडे धुरा,4
सतर रािय मुित पाट नेपाल,3
यांजा,3
"बदया नागरक उमुित पाट, नेपाल",2
सतर नागरक सवचता पाट नेपाल,2
खस आय सतर रािय मुित पाट नेपाल,2
सतर जनादेश पाट नेपाल,2
आदवासी जनजात याङजा,2
था बदया,2
मधशे ी सतर रािय मुित पाट नेपाल,1
आदवासी जनजात याद,1
खस आय याद,1
मुिलम याजा,1
खस आय याजा,1
था सतर नागरक सवचता पाट नेपाल,1
मधेशी सतर नागरक सवचता पाट नेपाल,1
था सतर,1
सोलु,1
"ी पदेह नागरक उमुित पाट, नेपाल",1
"ी बदया नागरक उमुित पाट, नेपाल",1
दलत सतर रािय मुित पाट नेपाल,1
"खस आय बदया नागरक उमुित पाट, नेपाल",1
सयान जनता समाजवाद पाट,1
आदवासी जनजात यूठान,1
सतर आम जनता पाट,1
खस आय सयान,1
यां जा,1
काे,1
खस आय डँडले धरु ा,1
