party,आदिवासी जनजाति,खस आर्य,मधेशी,थारू,दलित,मुसलमान
राष्ट्रिय जात पार्टी,16,66,8,3,8,3
नेपाल सद्भावना पार्टी,32,32,16,7,12,5
नेपाल कम्युनिष्ट पार्टी (एमाले),31,30,18,5,15,5
नेपाल कम्युनिष्ट पार्टी (मार्क्सवादी-लेनिनवादी),18,63,8,4,8,3
नेपाल मजदुर किसान पार्टी,31,31,16,5,15,5
श्रम संस्कृति पार्टी,31,30,16,7,14,5
नेपाली कम्युनिष्ट पार्टी,17,63,9,3,7,3
नेपाल कम्युनिष्ट पार्टी (माओवादी),17,63,9,3,7,3
राष्ट्रिय स्वतन्त्र पार्टी,31,29,16,6,14,5
जनमत पार्टी,15,65,7,3,8,3
मितेरी पार्टी नेपाल,29,31,14,5,14,5
नेपाल कम्युनिष्ट पार्टी (संयुक्त),29,28,15,7,13,5
गतिशील लोकतान्त्रिक पार्टी,29,28,16,7,11,6
नेपाल जनता पार्टी,22,48,8,6,5,4
"जनता समाजवादी पार्टी, नेपाल",14,59,7,2,7,3
नेपाल मातृभूमि पार्टी,18,24,10,4,7,4
संयुक्त नागरिक पार्टी,18,17,10,4,6,3
"राष्ट्रिय उजाशील पार्टी, नेपाल",7,29,4,2,3,1
राष्ट्रिय परिवर्तन पार्टी,14,15,7,2,6,2
नेपालका लागि नेपाली पार्टी,12,12,6,3,5,2
जातान्त्रिक पार्टी नेपाल,6,25,3,0,3,1
नेपाल जनता संरक्षण पार्टी,9,8,3,2,4,2
समावेशी समाजवादी पार्टी नेपाल,4,13,3,2,3,2
सार्वभौम नागरिक पार्टी,8,7,5,0,4,1
भूमि पार्टी,4,12,2,1,2,1
जनादेश पार्टी नेपाल,5,8,3,2,3,1
राष्ट्रिय गौरव पार्टी,7,7,2,2,3,1
"नागरिक उन्मुक्ति पार्टी, नेपाल",7,7,3,1,2,1
बहुजन शक्ति पार्टी,4,9,2,1,2,1
नेपाल कम्युनिष्ट पार्टी मार्क्सवादी (पुष्पलाल),4,7,3,1,2,1
पिपुल्स फर्स्ट पार्टी,4,9,2,1,1,1
"जनता लोकतान्त्रिक पार्टी, नेपाल",6,7,2,1,2,0
जनप्रिय लोकतान्त्रिक पार्टी,2,5,1,1,2,1
उन्नत लोकतन्त्र पार्टी,3,3,2,1,2,1
राष्ट्रिय जनता पार्टी नेपाल,3,3,2,1,2,1
राष्ट्रिय जनमुक्ति पार्टी,1,6,1,1,1,1
नेपाली जनश्रमदान संस्कृति पार्टी,3,3,2,1,1,1
नेपाल जनमुक्ति पार्टी,3,3,2,1,1,1
नेपाल लोकतान्त्रिक पार्टी,3,3,2,0,1,1
जन अधिकार पार्टी,3,3,1,1,1,1
स्वाभिमान पार्टी,2,1,2,0,0,1
