नागरिकता जारी जिल्ला,count
काठमाडौं,180
पर्सा,109
मोरङ,87
सिराहा,87
धनुषा,86
बारा,80
सर्लाही,76
झापा,75
सुनसरी,68
महोत्तरी,68
रौतहट,62
ललितपुर,60
कालिकोट,59
कैलाली,56
भक्तपुर,51
मकवानपुर,49
काभ्रेपलान्चोक,43
बाँके,42
कपिलवस्तु,41
दाङ,40
नवलपरासी,40
चितवन,37
रामेछाप,30
गोरखा,30
धादिङ,29
कञ्चनपुर,28
उदयपुर,27
सिन्धुपाल्चोक,27
सिन्धुली,25
जुम्ला,24
तनहुँ,23
दोलखा,22
दैलेख,20
खोटाङ,20
नुवाकोट,20
रुकुम,20
ओखलढुंगा,19
अछाम,18
तेह्रथुम,18
भोजपुर,18
संखुवासभा,16
सुर्खेत,16
धनकुटा,16
बाग्लुङ,15
सोलुखुम्बु,12
इलाम,12
गुल्मी,12
अघाखाँची,12
पाल्पा,12
ताप्लेजुङ,11
लमजुङ,10
मुगु,9
पाँचथर,9
जाजरकोट,8
बझाङ,8
रोल्पा,8
पर्वत,7
हुम्ला,7
दार्चुला,7
बैतडी,5
डोल्पा,4
डोटी,3
नवलपुर,1
मुस्ताङ,1
