नागरिकता जारी जिल्ला,count
काठमाड रािय मुित पाट नेपाल,5
बाँके जनता समाजवाद पाट,5
सतर रािय मुित पाट नेपाल,3
काठमाड जनता समाजवाद पाट,2
झापा रािय मुित पाट नेपाल,2
"बदया नागरक उमुित पाट, नेपाल",2
खोटाङ जनता समाजवाद पाट,2
सुनसर जनता समाजवाद पाट,2
हुला रािय मुित पाट नेपाल,2
"आदवासी जनजात रामेछाप नागरक उमुित पाट, नेपाल",2
"भतपुर नागरक उमुित पाट, नेपाल",2
खस आय सतर रािय मुित पाट नेपाल,2
सुनसर रािय मुित पाट नेपाल,2
"दलत कैलाल नागरक उमुित पाट, नेपाल",2
"मधशे ी पसा नागरक उमुित पाट, नेपाल",2
नवलपरासी (बदघाट सु ता जनता समाजवाद पाट,1
ललतपुर रािय मुित पाट नेपाल,1
दोलखा जनता समाजवाद पाट,1
"झापा नागरक उमुित पाट, नेपाल",1
सरहा जनता समाजवाद पाट,1
दाङ जनता समाजवाद पाट,1
खोटाङ रािय मुित पाट नेपाल,1
आदवासी जनजात तालेजुङ रािय मुित पाट नेपाल,1
आदवासी जनजात रामेछाप जनता समाजवाद पाट,1
आदवासी जनजात सरहा रािय मुित पाट नेपाल,1
"आदवासी जनजात मोरङ नागरक उमुित पाट, नेपाल",1
आदवासी जनजात इलाम जनता समाजवाद पाट,1
आदवासी जनजात पाँचथर रािय मुित पाट नेपाल,1
आदवासी जनजात तनहुँ जनता समाजवाद पाट,1
आदवासी जनजात बागलुङ रािय मुित पाट नेपाल,1
आदवासी जनजात मकवानपुर जनता समाजवाद पाट,1
"आदवासी जनजात कैलाल नागरक उमुित पाट, नेपाल",1
"काठमाड नागरक उमुित पाट, नेपाल",1
"गोरखा नागरक उमुित पाट, नेपाल",1
"तनहुँ नागरक उमुित पाट, नेपाल",1
कपलवतु रािय मुित पाट नेपाल,1
"धादङ नागरक उमुित पाट, नेपाल",1
महोर रािय मुित पाट नेपाल,1
महोर जनता समाजवाद पाट,1
सयान जनता समाजवाद पाट,1
कचनपुर रािय मुित पाट नेपाल,1
खस आय रामेछाप जनता समाजवाद पाट,1
"खस आय कैलाल नागरक उमुित पाट, नेपाल",1
खस आय अछाम रािय मुित पाट नेपाल,1
खस आय बागलुङ जनता समाजवाद पाट,1
"खस आय झापा नागरक उमुित पाट, नेपाल",1
खस आय बाँके जनता समाजवाद पाट,1
"खस आय पवत नागरक उमुित पाट, नेपाल",1
खस आय अछाम जनता समाजवाद पाट,1
"खस आय पदेह नागरक उमुित पाट, नेपाल",1
