नागरिकता जारी जिल्ला,count
काठमाड नागरक सवचता पाट नेपाल,3
आदवासी जनजात सधुपाचोक नागरक सवचता पाट नेपाल,2
सधुपाचोक नागरक सवचता पाट नेपाल,2
सतर नागरक सवचता पाट नेपाल,2
खस आय भतपुर नागरक सवचता पाट नेपाल,1
भतपुर नागरक सवचता पाट नेपाल,1
खस आय संखुवासभा नागरक सवचता पाट नेपाल,1
खस आय सधुपाचोक नागरक सवचता पाट नेपाल,1
ओखलढुगा नागरक सवचता पाट नेपाल,1
मधेशी सतर नागरक सवचता पाट नेपाल,1
रौतहट नागरक सवचता पाट नेपाल,1
मधेशी सरहा नागरक सवचता पाट नेपाल,1
बारा नागरक सवचता पाट नेपाल,1
पसा नागरक सवचता पाट नेपाल,1
आदवासी जनजात उदयपुर नागरक सवचता पाट नेपाल,1
उदयपुर नागरक सवचता पाट नेपाल,1
जु ला नागरक सवचता पाट नेपाल,1
था सतर नागरक सवचता पाट नेपाल,1
दलत काेपलाचोक नागरक सवचता पाट नेपाल,1
चतवन नागरक सवचता पाट नेपाल,1
