नागरिकता जारी जिल्ला,count
सलाह नेपाल संघीय समाजवाद पाट,8
सतर नेपाल संघीय समाजवाद पाट,7
काठमाड नेपाल संघीय समाजवाद पाट,7
रौतहट नेपाल संघीय समाजवाद पाट,6
कैलाल नेपाल संघीय समाजवाद पाट,6
बारा नेपाल संघीय समाजवाद पाट,5
अछाम नेपाल संघीय समाजवाद पाट,5
महोर बहुजन एकता पाट नेपाल,4
मोरङ नेपाल संघीय समाजवाद पाट,4
सरहा नेपाल संघीय समाजवाद पाट,4
सुखत नेपाल संघीय समाजवाद पाट,4
सुनसर नेपाल संघीय समाजवाद पाट,4
ललतपुर नेपाल संघीय समाजवाद पाट,3
पसा नेपाल संघीय समाजवाद पाट,3
सलाह बहुजन एकता पाट नेपाल,3
बारा नेपाल जनजागृत पाट,3
झापा नेपाल संघीय समाजवाद पाट,3
बाँके नेपाल संघीय समाजवाद पाट,2
पाँचथर नेपाल संघीय समाजवाद पाट,2
धनुषा नेपाल संघीय समाजवाद पाट,1
पदेह बहुजन एकता पाट नेपाल,1
बारा बहुजन एकता पाट नेपाल,1
सरहा बहुजन एकता पाट नेपाल,1
धनुषा बहुजन एकता पाट नेपाल,1
काक नेपाल संघीय समाजवाद पाट,1
बागलुङ नेपाल संघीय समाजवाद पाट,1
रौतहट नेपाल जनजागृत पाट,1
महोर नेपाल जनजागृत पाट,1
महोर नेपाल संघीय समाजवाद पाट,1
नवलपरासी (बदघाट सुता बहुजन एकता पाट नेपाल,1
नुवाकोट नेपाल संघीय समाजवाद पाट,1
दोलखा नेपाल संघीय समाजवाद पाट,1
कालकोट नेपाल संघीय समाजवाद पाट,1
मकवानपुर नेपाल संघीय समाजवाद पाट,1
खोटांग नेपाल संघीय समाजवाद पाट,1
उदयपुर नेपाल संघीय समाजवाद पाट,1
भतपुर नेपाल संघीय समाजवाद पाट,1
मोरङ नेपाल स ंघीय समाजवाद पाट,1
धनकुटा नेपाल संघीय समाजवाद पाट,1
रामेछाप नेपाल संघीय समाजवाद पाट,1
नवलपरासी (बदघाट सुता नेपाल संघीय समाजवाद पाट,1
कुम (पूव भाग) नेपाल संघीय समाजवाद पाट,1
इलाम नेपाल संघीय समाजवाद पाट,1
खोटाङ नेपाल संघीय समाजवाद पाट,1
