नागरिकता जारी जिल्ला,count
रौतहट आम जनता पाट,13
बारा आम जनता पाट,6
मोरङ आम जनता पाट,6
काठमाड आम जनता पाट,6
महोर आम जनता पाट,5
काक आम जनता पाट,4
सधुपाचोक आम जनता पाट,3
काेपलाचोक आम जनता पाट,3
भोजपुर जनादेश पाट नेपाल,3
काठमाड जनादेश पाट नेपाल,3
धनकुटा आम जनता पाट,3
झापा जनादेश पाट नेपाल,3
सरहा आम जनता पाट,3
पसा आम जनता पाट,3
सलाह आम जनता पाट,3
सुनसर आम जनता पाट,2
गोरखा जनादेश पाट नेपाल,2
सुनसर जनादेश पाट नेपाल,2
कालकोट आम जनता पाट,2
उदयपुर आम जनता पाट,2
धादङ आम जनता पाट,2
नवलपरासी (बदघाट सु ता आम जनता पाट,2
सतर जनादेश पाट नेपाल,2
पाँचथर आम जनता पाट,1
मकवानपुर आम जनता पाट,1
काठमाडौ आम जनता पाट,1
चतवन जनादेश पाट नेपाल,1
गोरखा आम जनता पाट,1
मकवानपुर जनादेश पाट नेपाल,1
सुखत आम जनता पाट,1
गु मी आम जनता पाट,1
मोरङ जनादेश पाट नेपाल,1
दाचलु ा आम जनता पाट,1
बाजुरा आम जनता पाट,1
काेपलाचोक जनादेश पाट नेपाल,1
पदेह आम जनता पाट,1
बाँके आम जनता पाट,1
ते थुम आम जनता पाट,1
बाँके जनादेश पाट नेपाल,1
कैलाल आम जनता पाट,1
कुम (पिचम भाग) आम जनता पाट,1
मुगु आम जनता पाट,1
अछाम आम जनता पाट,1
कचनपुर आम जनता पाट,1
सतर आम जनता पाट,1
पसा जनादेश पाट नेपाल,1
धनुषा आम जनता पाट,1
महोर जनादेश पाट नेपाल,1
धनुषा जनादेश पाट नेपाल,1
सोलुखु बु जनादेश पाट नेपाल,1
