नागरिकता जारी जिल्ला,count
काठमाड,7
गोरखा,6
सुनसर,5
पसा,4
बारा,4
धादङ,4
काेपलाचोक,3
सलाह,3
ललतपुर,3
भतपुर,3
कुम (पिचम भाग),3
युठान,3
बागलुङ,3
पदेह,3
रौतहट,3
मोरङ,3
चतवन,2
झापा,2
भोजपुर,2
मकवानपुर,2
सधुल,2
सयान,2
काक,2
महोर,2
जुला,2
नवलपरासी (बदघाट सु ता पूव),2
नवलपरासी (बदघाट सु ता,1
पवत,1
सधुपाचोक,1
पाँचथर,1
डोट,1
कुम पिचम,1
कुम (पिचम),1
बाँके,1
धनुषा,1
महोतर,1
सरहा,1
दाचलु ा,1
अघाखाँची,1
उदयपुर,1
कालकोट,1
खोटाङ,1
ओखलढुगा,1
जाजरकोट,1
नवलपरासी (बदघाट सु ता पिचम),1
यूठान,1
मुगु,1
बाजुरा,1
कैलाल,1
