नागरिकता जारी जिल्ला,count
सतर,5
महोर,4
सलाह,4
खस आय काक,3
झापा,3
बाँके,3
कपलवतु,3
काठमाड,3
काेपलाचोक,3
खस आय काठमाड,2
कैलाल,2
तनहुँ,2
दाङ,2
आदवासी जनजात धनकुटा,2
आदवासी जनजात झापा,2
सुखत,2
मधेशी महोर,2
मधेशी सतर,2
बारा,2
नवलपरासी (बदघाट सुता,2
था सरहा,2
खस आय सलाह,1
खस आय काेपलाचोक,1
खस आय मुगु,1
खस आय संखुवासभा,1
खस आय सोलुखु बु,1
खस आय नुवाकोट,1
खस आय चतवन,1
खस आय जु ला,1
खस आय ओखलढुगा,1
पदेह,1
काक,1
पवत,1
मुगु,1
आदवासी जनजात महोर,1
आदवासी जनजात दोलखा,1
आदवासी जनजात सधुपाचोक,1
आदवासी जनजात मकवानपुर,1
आदवासी जनजात सुनसर,1
आदवासी जनजात संखुवासभा,1
आदवासी जनजात भोजपुर,1
आदवासी जनजात सतर,1
आदवासी जनजात काेपलाचोक,1
आदवासी जनजात ललतपुर,1
सोलुखु बु,1
भतपुर,1
मकवानपुर,1
इलाम,1
मोरङ,1
तालेजुङ,1
