नागरिकता जारी जिल्ला,count
काठमाड,6
झापा,5
कैलाल,4
सरहा,4
आदवासी जनजात रामेछाप,3
चतवन,3
दाङ,3
मधेशी सरहा,3
आदवासी जनजात काठमाड,2
आदवासी जनजात अघाखाँची,2
आदवासी जनजात काेपलाचोक,2
सधुल,2
सधुपाचोक,2
भतपुर,2
गुमी,2
खस आय भतपुर,2
खस आय दोलखा,2
कालकोट,2
महोर,2
था सरहा,2
पसा,2
मुिलम सरहा,2
आदवासी जनजात रौतहट,1
आदवासी जनजात चतवन,1
आदवासी जनजात ललतपुर,1
आदवासी जनजात सुनसर,1
संखुवासभा,1
खोटाङ,1
ओखलढुगा,1
रामेछाप,1
काेपलाचोक,1
खस आय अघाखाँची,1
खस आय मुगु,1
खस आय गुमी,1
खस आय गोरखा,1
खस आय यूठान,1
खस आय ओखलढुगा,1
खस आय सधुपाचोक,1
खस आय कुम (पिचम भाग),1
खस आय सयान,1
खस आय कालकोट,1
खस आय झापा,1
खस आय बागलुङ,1
पदेह,1
अघाखाँची,1
सयान,1
मुगु,1
तनहुँ,1
ललतपुर,1
मकवानपुर,1
