नागरिकता जारी जिल्ला,count
पदेह,5
दाङ,4
रोपा,3
कपलवतु,3
याद,2
काठमाड,2
आदवासी जनजात ललतपुर,2
कैलाल,2
बाँके,2
नवलपरासी (बदघाट सुता पिचम,2
खोटाङ,1
काक,1
ते थमु,1
पवत,1
नवलपरासी (बदघाट सुता पूव),1
सुनसर,1
धनकुटा,1
बागलुङ,1
अघाखाँची,1
मकवानपुर,1
सधपु ाचोक,1
सधलु,1
रामेछाप,1
आदवासी जनजात रोपा,1
आदवासी जनजात याङजा,1
आदवासी जनजात गोरखा,1
आदवासी जनजात कुम (पूव भाग),1
आदवासी जनजात चतवन,1
आदवासी जनजात पापा,1
आदवासी जनजात महोर,1
आदवासी जनजात सधलु,1
आदवासी जनजात संखुवासभा,1
आदवासी जनजात सोलुखु बु,1
आदवासी जनजात दोलखा,1
आदवासी जनजात काेपलाचोक,1
सयान,1
दैलेख,1
अछाम,1
बैतडी,1
जु ला,1
सलाह,1
झापा,1
नुवाकोट,1
गुमी,1
खस आय कैलाल,1
खस आय कपलवतु,1
खस आय यूठान,1
खस आय हुला,1
खस आय पदेह,1
खस आय ललतपुर,1
