नागरिकता जारी जिल्ला,count
झापा,10
चतवन,7
तनहुँ,6
आदवासी जनजात इलाम,6
खस आय झापा,5
मोरङ,5
दाङ,4
इलाम,3
मकवानपुर,3
खस आय चतवन,3
मधेशी झापा,3
आदवासी जनजात झापा,2
उदयपुर,2
खस आय भोजपुर,2
खस आय यूठान,2
नवलपरासी (बदघाट सुता,2
जाजरकोट,2
दलत मोरङ,2
मधेशी सलाह,2
महोर,2
मधेशी मोरङ,2
आदवासी जनजात धादङ,1
नुवाकोट,1
आदवासी जनजात कुम (पूव भाग),1
आदवासी जनजात भोजपुर,1
आदवासी जनजात रसुवा,1
गोरखा,1
मोरंग,1
आदवासी जनजात लमजुङ,1
धादङ,1
ते थुम,1
धनकुटा,1
सधुपाचोक,1
काठमाड,1
आदवासी जनजात सुनसर,1
खस आय महोर,1
यूठान,1
पापा,1
बाँके,1
गुमी,1
खस आय मोरङ,1
था उदयपुर,1
था पदेह,1
था दाङ,1
दलत भोजपुर,1
दलत बालुंग,1
दलत जाजरकोट,1
यां जा,1
तालेजुंग,1
सलाह,1
