नागरिकता जारी जिल्ला,count
काठमाड,7
आदवासी जनजात काठमाड,4
कपलवतु,3
झापा,2
बाँके,2
खस आय मोरङ,2
भतपुर,2
उदयपुर,2
जु ला,2
सुनसर,2
दाङ,2
नवलपरासी (बदघाट सुता,2
मधेशी मोरङ,2
मधेशी धनुषा,2
पसा,2
आदवासी जनजात ओखलढुगा,1
आदवासी जनजात गोरखा,1
आदवासी जनजात याद,1
आदवासी जनजात सुनसर,1
आदवासी जनजात ललतपुर,1
आदवासी जनजात मकवानपुर,1
आदवासी जनजात झापा,1
आदवासी जनजात पाँचथर,1
आदवासी जनजात संखुवासभा,1
आदवासी जनजात रामेछाप,1
आदवासी जनजात इलाम,1
आदवासी जनजात नुवाकोट,1
धादङ,1
खोटाङ,1
मकवानपुर,1
पाँचथर,1
काेपलाचोक,1
बारा,1
सधुपाचोक,1
भोजपुर,1
पदेह,1
रोपा,1
ललतपुर,1
कैलाल,1
लमजुङ,1
खस आय काठमाड,1
खस आय रामेछाप,1
खस आय कचनपुर,1
खस आय उदयपुर,1
खस आय धनकुटा,1
खस आय कालकोट,1
खस आय अछाम,1
खस आय डँडले धरु ा,1
खस आय नुवाकोट,1
खस आय दोलखा,1
