नागरिकता जारी जिल्ला,count
सुनसर,13
मोरङ,10
दाचलु ा,5
झापा,4
कचनपुर,4
खस आय झापा,4
खस आय मोरङ,4
अछाम,4
मधेशी सरहा,4
सरहा,4
आदवासी जनजात तालेजुङ,3
कैलाल,3
मधेशी सतर,3
आदवासी जनजात मोरङ,2
आदवासी जनजात झापा,2
आदवासी जनजात बागलुङ,2
तालेजुङ,2
खस आय दाचलु ा,2
सतर,2
आदवासी जनजात भोजपुर,1
आदवासी जनजात इलाम,1
आदवासी जनजात खोटाङ,1
आदवासी जनजात संखुवासभा,1
आदवासी जनजात पाँचथर,1
आदवासी जनजात धनकुटा,1
आदवासी जनजात सधपु ाचोक,1
बागलुङ,1
सधपु ाचोक,1
ते थमु,1
इलाम,1
खस आय सुखत,1
खस आय कचनपुर,1
खस आय इलाम,1
खस आय पाँचथर,1
खस आय सुनसर,1
खस आय बझाङ,1
संखुवासभा,1
बाजुरा,1
था झापा,1
था सरहा,1
था सतर,1
दलत कैलाल,1
दलत जु ला,1
दलत अछाम,1
दलत सधपु ाचोक,1
दलत इलाम,1
दलत मोरङ,1
दलत ते थमु,1
जु ला,1
मधेशी धनुषा,1
