party,candidates,female,male,unique_districts
राष्ट्रिय जात पार्टी,104,53,51,46
नेपाल सद्भावना पार्टी,104,55,49,26
नेपाल कम्युनिष्ट पार्टी (एमाले),104,53,51,46
नेपाल कम्युनिष्ट पार्टी (मार्क्सवादी-लेनिनवादी),104,57,47,37
नेपाल मजदुर किसान पार्टी,103,56,47,40
श्रम संस्कृति पार्टी,103,55,48,41
नेपाली कम्युनिष्ट पार्टी,102,54,48,43
नेपाल कम्युनिष्ट पार्टी (माओवादी),102,54,48,54
राष्ट्रिय स्वतन्त्र पार्टी,101,58,43,41
जनमत पार्टी,101,54,47,23
मितेरी पार्टी नेपाल,98,63,35,42
नेपाल कम्युनिष्ट पार्टी (संयुक्त),97,53,44,33
गतिशील लोकतान्त्रिक पार्टी,97,55,42,38
नेपाल जनता पार्टी,93,57,36,36
"जनता समाजवादी पार्टी, नेपाल",92,49,43,38
नेपाल मातृभूमि पार्टी,67,36,31,30
संयुक्त नागरिक पार्टी,58,31,27,28
"राष्ट्रिय उजाशील पार्टी, नेपाल",46,24,22,10
राष्ट्रिय परिवर्तन पार्टी,46,26,20,29
नेपालका लागि नेपाली पार्टी,40,22,18,14
जातान्त्रिक पार्टी नेपाल,38,19,19,17
नेपाल जनता संरक्षण पार्टी,28,16,12,13
समावेशी समाजवादी पार्टी नेपाल,27,19,8,15
सार्वभौम नागरिक पार्टी,25,14,11,18
भूमि पार्टी,22,13,9,17
जनादेश पार्टी नेपाल,22,17,5,15
राष्ट्रिय गौरव पार्टी,22,13,9,15
"नागरिक उन्मुक्ति पार्टी, नेपाल",21,14,7,11
बहुजन शक्ति पार्टी,19,13,6,13
नेपाल कम्युनिष्ट पार्टी मार्क्सवादी (पुष्पलाल),18,15,3,8
पिपुल्स फर्स्ट पार्टी,18,12,6,9
"जनता लोकतान्त्रिक पार्टी, नेपाल",18,12,6,10
जनप्रिय लोकतान्त्रिक पार्टी,12,9,3,9
उन्नत लोकतन्त्र पार्टी,12,9,3,9
राष्ट्रिय जनता पार्टी नेपाल,12,10,2,6
राष्ट्रिय जनमुक्ति पार्टी,11,7,4,6
नेपाली जनश्रमदान संस्कृति पार्टी,11,8,3,7
नेपाल जनमुक्ति पार्टी,11,8,3,9
नेपाल लोकतान्त्रिक पार्टी,10,8,2,8
जन अधिकार पार्टी,10,9,1,6
स्वाभिमान पार्टी,6,5,1,6
